Pixel;Week;RRS412;RRS443;RRS490;RRS555;KD490;ZEU;ZHL
3;week 34;0.00565703492611647;0.00502709578722715;0.00427028071135283;0.00189475342631340;0.0784088075160980;60.0347023010254;24.4914588928223
3;week 35;0.00378550728783011;0.00381627306342125;0.00340205477550626;0.00157559418585151;0.0826486647129059;61.6978454589844;25.1619853973389
3;week 36;0.00468515697866678;0.00433431100100279;0.00371327879838645;0.00173085089772940;0.0821540579199791;58.3633651733398;23.8682651519775
3;week 37;0.00448363041505218;0.00404739985242486;0.00344366882927716;0.00169888255186379;0.0868942663073540;55.4216651916504;22.8265056610107
3;week 38;NaN;NaN;NaN;NaN;NaN;66.1538314819336;26.8796787261963
3;week 39;NaN;NaN;NaN;NaN;NaN;53.7213592529297;22.2316017150879
3;week 40;NaN;NaN;NaN;NaN;NaN;66.0731201171875;26.7163887023926
3;week 41;0.00512400083243847;0.00350200105458498;0.00327800097875297;0.00159580388572067;0.0875255465507507;60.2799301147461;24.5689296722412
3;week 42;NaN;NaN;NaN;NaN;NaN;78.1347732543945;31.4226036071777
3;week 43;NaN;NaN;NaN;NaN;NaN;75.9362716674805;30.5955696105957
3;week 44;NaN;NaN;NaN;NaN;NaN;63.3350906372070;25.6801891326904
3;week 45;NaN;NaN;NaN;NaN;NaN;60.7557258605957;24.7681694030762
3;week 46;NaN;NaN;NaN;NaN;NaN;69.7102355957031;28.0656032562256
4;week 1;NaN;NaN;NaN;NaN;NaN;92.5027160644531;37.7650337219238
4;week 2;NaN;NaN;NaN;NaN;NaN;83.3717422485352;33.6647071838379
4;week 3;NaN;NaN;NaN;NaN;NaN;73.6878509521484;29.6119842529297
4;week 4;NaN;NaN;NaN;NaN;NaN;78.5574111938477;31.5824718475342
4;week 5;NaN;NaN;NaN;NaN;NaN;69.5826187133789;28.0371608734131
4;week 6;0.00462407991290093;0.00530573632568121;0.00421523209661245;0.00149911525659263;0.0651918798685074;66.3654327392578;26.8088188171387
4;week 7;0.00374375656247139;0.00381743023172021;0.00318752950988710;0.00117210391908884;0.0700673386454582;59.4675216674805;24.3041782379150
4;week 8;0.00466766068711877;0.00352052832022309;0.00278935348615050;0.00127624755259603;0.0854098945856094;58.8583602905273;24.0593395233154
4;week 9;0.00501159718260169;0.00478765415027738;0.00407753651961684;0.00149049144238234;0.0666376948356628;69.1909637451172;27.8652667999268
4;week 10;0.00500735547393560;0.00506669236347079;0.00400000810623169;0.00163811142556369;0.0734287649393082;68.4018020629883;27.6453094482422
4;week 11;0.00283454544842243;0.00286624813452363;0.00260784151032567;0.00170295999851078;0.116532355546951;49.1372299194336;20.5514793395996
4;week 12;0.00356840598396957;0.00439342902973294;0.00378731032833457;0.00191511120647192;0.0870651230216026;51.1208610534668;21.2644634246826
4;week 13;0.00261773122474551;0.00306176999583840;0.00289701460860670;0.00172531697899103;0.104319147765636;44.0135879516602;18.7027149200439
